student_id,student_name,gender,department,account,password,group_no,dept_no
1001,钱涛,女,人工智能,1001,123456,27,C
1002,陈静,女,信息安全,1002,123456,27,C
1003,周娟,女,信息安全,1003,123456,27,C
1004,李涛,男,计算机科学,1004,123456,27,C
1005,冯娟,男,人工智能,1005,123456,27,C
1006,陈刚,女,计算机科学,1006,123456,27,C
1007,孙超,男,计算机科学,1007,123456,27,C
1008,褚强,女,计算机科学,1008,123456,27,C
1009,赵超,女,计算机科学,1009,123456,27,C
1010,沈芳,女,计算机科学,1010,123456,27,C
1011,杨秀英,女,计算机科学,1011,123456,27,C
1012,沈刚,女,计算机科学,1012,123456,27,C
1013,王敏,女,信息安全,1013,123456,27,C
1014,周娟,女,信息安全,1014,123456,27,C
1015,赵强,女,软件工程,1015,123456,27,C
1016,周磊,男,软件工程,1016,123456,27,C
1017,韩艳,女,计算机科学,1017,123456,27,C
1018,韩超,男,计算机科学,1018,123456,27,C
1019,周刚,男,人工智能,1019,123456,27,C
1020,李杰,男,软件工程,1020,123456,27,C
1021,蒋洋,男,软件工程,1021,123456,27,C
1022,陈平,女,信息安全,1022,123456,27,C
1023,王娜,女,信息安全,1023,123456,27,C
1024,杨敏,男,人工智能,1024,123456,27,C
1025,韩霞,女,软件工程,1025,123456,27,C
1026,冯伟,男,人工智能,1026,123456,27,C
1027,李军,女,软件工程,1027,123456,27,C
1028,吴勇,女,人工智能,1028,123456,27,C
1029,卫艳,女,人工智能,1029,123456,27,C
1030,韩勇,女,人工智能,1030,123456,27,C
1031,李勇,男,人工智能,1031,123456,27,C
1032,沈明,女,软件工程,1032,123456,27,C
1033,吴娟,女,人工智能,1033,123456,27,C
1034,钱洋,女,人工智能,1034,123456,27,C
1035,周军,男,软件工程,1035,123456,27,C
1036,郑娜,女,计算机科学,1036,123456,27,C
1037,韩艳,女,软件工程,1037,123456,27,C
1038,蒋明,女,计算机科学,1038,123456,27,C
1039,吴刚,男,计算机科学,1039,123456,27,C
1040,褚伟,女,人工智能,1040,123456,27,C
1041,郑勇,男,计算机科学,1041,123456,27,C
1042,吴洋,男,人工智能,1042,123456,27,C
1043,周霞,女,软件工程,1043,123456,27,C
